,videoId,title,viewCount,likeCount,dislikeCount,date,Query
0,AoCiBZdYwTg,"What I'm Doing As Bitcoin Nears $10,000",36370,969,48,2017-11,Bitcoin
1,N6NscwzbMvI,Bitcoin: How Does it Work? (Roger Ver Interview),82250,2472,666,2017-11,Bitcoin
2,YtWjqtlZldM,RT Podcast: Ep. 468 - Will Gavin Sell His Bitcoin?,111188,2543,71,2017-11,Bitcoin
3,dUYdTln7b6M,"BITCOIN HITS $11,000...IS IT TOO LATE TO BUY???",6012,487,11,2017-11,Bitcoin
4,JfEAMJg230M,"Bitcoin hits $11,000 then drops 19% in 1 day!",4147,141,5,2017-11,Bitcoin
5,natUZT0tuJc,Advertencia sobre Bitcoin no Compres Derivados | Análisis de Precio,12728,633,18,2017-11,Bitcoin
6,gMRW46y1Ka4,BITCOIN : Comment ça marche et où en acheter ? 💸,42921,4504,96,2017-11,Bitcoin
7,A76NZA391ss,BITCOIN ATTACKED BY NASDAQ. DANGER. HOW?,3295,79,24,2017-11,Bitcoin
8,gsdMR_3poN0,"BITCOIN to  $15,000?!   Market Updates",7139,479,10,2017-11,Bitcoin
9,QkB9cRmmgF4,Bitcoin Talk | Late Night Livestream w/ DataDash,22518,866,27,2017-11,Bitcoin
10,o-4kXZMi-BY,"Bitcoin Reaches $10,000 | Here's My Perspective",47391,2061,63,2017-11,Bitcoin
11,FSWOl7R5Rrc,Bitcoin price soars: Will the bubble burst?,6364,85,33,2017-11,Bitcoin
12,iqyLByXUksg,Why Bitcoin's Price Continues To Rise,219397,3555,151,2017-11,Bitcoin
13,zNu9gAQSHjM,Bitcoin Price crash 30% Today! Crypto Trade Report,1208,119,0,2017-11,Bitcoin
14,0cLtoK2zvWk,"$10,000 Bitcoin!! Crypto Happy Hour - Altcoins I'm Watching - November 28th Edition",15064,402,20,2017-11,Bitcoin
15,bFLF8ysm720,"Bitcoin Breaks Through $11,000! Local Media Outlets Start Picking Up Bitcoin News...",2368,139,6,2017-11,Bitcoin
16,tu64gdOcaAg,"$10,000 Bitcoin: Is it a Bubble?",15471,636,33,2017-11,Bitcoin
17,vjcr6wHR_gU,Прямая трансляция. Bitcoin 11111$ и бьёт рекорды в прямом эфире!,8300,225,53,2017-11,Bitcoin
18,l6Obc_cJba4,Bitcoin cash ‘CEO’: We won’t need banks anymore,141804,2338,351,2017-11,Bitcoin
19,RkIlKyQ_BnQ,HUGE BITCOIN DROP SOON!? (BE WARNED!),51994,578,77,2017-11,Bitcoin
20,b5D01ju7OWQ,"Bitcoin $10,000 LIVE",16418,832,30,2017-11,Bitcoin
21,LjJ-G0PVHxY,Should You Sell Your Bitcoin Or Continue To HOLD! (Long Term Bitcoin Technical Analysis),36628,2619,73,2017-11,Bitcoin
22,mu1X9XvPYok,Will Bitcoin Break 10k Tonight? - Live Look,17790,584,23,2017-11,Bitcoin
23,p73I31U9D9M,Bitcoin caiz mi? Diyanet İşlerini aradık öğrendik!,19712,737,164,2017-11,Bitcoin
24,1F1duda5OJQ,Bitcoin naar de maan!,87256,1256,80,2017-11,Bitcoin
25,0v3gr-GrubA,Bitcoin Hits $9000 - What Next? Bitcoin Price Prediction,6430,213,8,2017-11,Bitcoin
26,lOFkLwNBqNQ,"Bitcoin Morning Brief w/ Jimmy - Bitfinex, Coinbase & ATH Again!",8914,404,21,2017-11,Bitcoin
27,me713vKBmh4,Bitcoin on a unstoppable bull run! Are you a believer yet?,24205,226,31,2017-11,Bitcoin
28,aLFdVdNFqM8,Too late to invest in Bitcoin? Programmer explains.,393749,3423,347,2017-08,Bitcoin
29,12inmU2Qe3U,Daily: Bitcoin is over 9000!,22808,745,20,2017-11,Bitcoin
30,lm_gHX1gFlg,"BITCOIN $10,000...MY INVESTMENT STRATEGY Going Forward (Bitcoin 10k)",14685,708,22,2017-11,Bitcoin
31,PPLHXocc3nM,Bitcoin flirting with $8000 but that not the big story!,32462,323,14,2017-11,Bitcoin
32,Yp-Tvil0q2s,BITCOIN CRASH COMING 2018?,37788,546,185,2017-11,Bitcoin
33,Um63OQz3bjo,What is Bitcoin? (v1),7800622,13514,867,2011-03,Bitcoin
34,a80dHxV7r7I,Crypto Evangelist: Bitcoin - Like Every Asset - Is A Confidence Game | CNBC,7384,79,6,2017-11,Bitcoin
35,XfDjtnJKKvw,Perchè Bitcoin sta Salendo? Ti stai facendo la domanda sbagliata !,4615,193,4,2017-11,Bitcoin
36,UbS-thoEbiY,Cryptocurrency/Bitcoin & Transhumanism:RichieFromBoston & Nicholson1968,10907,764,21,2017-11,Bitcoin
37,UcSyHUv3DW4,Rekord bei Kryptowährung: Bitcoin-Kurs nähert sich 10.000-Dollar-Marke,8601,96,24,2017-11,Bitcoin
38,MznHcSc84yY,"How I Earn $5,000 In Bitcoin Every 24 Hours With Bitconnect! (Bitcoin All Time Highs)",28326,1808,120,2017-11,Bitcoin
39,Gf5saXRU-oc,"Crypto Bubble Debate Heats Up as Bitcoin hits $9,000",17741,597,11,2017-11,Bitcoin
40,snuVAAylt-c,"Bitcoin News - Korea, Australia, Elon Musk, and Bank Dudes",6661,378,4,2017-11,Bitcoin
41,uKfL3dQ3V9g,"Bitcoin Price to $100,000?",13068,712,21,2017-11,Bitcoin
42,LuPRFbnxCuI,What is Causing the Bitcoin Spike??,29624,1617,39,2017-11,Bitcoin
43,MX9sNPMQEyg,Roger Ver vs Bitcoin Error Log Bitcoin Scaling debate (plus an apology),34083,614,456,2017-11,Bitcoin
44,4YUhtWvT9oE,Bitcoin Prediction 2018 - 5 Coins For 10x Profit In 2018 !,34901,1947,91,2017-11,Bitcoin
45,o6b8NFJxFK4,JTduCoin #9 – Bitcoin proche des 10 000 $ !,5092,195,1,2017-11,Bitcoin
46,JWklrbH_kzU,"Bitcoin FIRES to $10,000! What to do now? Sell, hold or buy?",21640,434,21,2017-11,Bitcoin
